Fighting Drake,Tempest,1,0,0.00
Final Fortune,Mirage,1,0,0.00
Final Strike,Portal,1,0,0.00
Fire Ants,Urza's Saga,1,0,0.00
Fire Diamond,Mirage,1,0,0.00
Fire Drake,Chronicles,1,0,0.00
Fire Imp,Portal,2,0,0.00
Fire Snake,Portal,4,0,0.00
Fire Whip,Weatherlight,6,0,0.00
Fireball,Fourth Edition,1,0,0.00
Firebreathing,Fourth Edition,1,0,0.00
Firebreathing,Mirage,5,0,0.00
Firefly,Tempest,1,0,0.00
Fireslinger,Tempest,1,0,0.00
Fit of Rage,Weatherlight,6,0,0.00
Flailing Drake,Tempest,1,0,0.00
Flame Elemental,Mirage,4,0,0.00
Flame Wave,Stronghold,1,0,0.00
Flare,Mirage,5,0,0.00
Flash,Mirage,1,0,0.00
Fledgling Djinn,Weatherlight,8,0,0.00
Flesh Reaver,Urza's Saga,1,0,0.00
Flickering Ward,Tempest,1,0,0.00
Fling,Stronghold,3,0,0.00
Flood Plain,Mirage,1,0,0.00
Flood,Fifth Edition,1,0,0.00
Flood,Fourth Edition,1,0,0.00
Floodgate,Mirage,1,0,0.00
Flowstone Blade,Stronghold,3,0,0.00
Flowstone Flood,Exodus,1,0,0.00
Flowstone Giant,Tempest,4,0,0.00
Flowstone Hellion,Stronghold,3,0,0.00
Flowstone Mauler,Stronghold,2,0,0.00
Flowstone Salamander,Tempest,1,0,0.00
Flowstone Sculpture,Tempest,1,0,0.00
Flowstone Shambler,Stronghold,9,0,0.00
Flowstone Wyvern,Tempest,1,0,0.00
Fluctuator,Urza's Saga,1,0,0.00
Flux,Portal,2,0,0.00
Flux,Weatherlight,5,0,0.00
Fog Bank,Urza's Saga,1,0,0.00
Fog Elemental,Weatherlight,5,0,0.00
Fog,Fifth Edition,1,0,0.00
Fog,Mirage,4,0,0.00
